Position, X inches, Y inches
Origin, 0, 0
BlackJail1,  -0.875, 13.125
BlackJail2,  -0.875, 12.250
BlackJail3,  -0.875, 11.375
BlackJail4,  -0.875, 10.500
BlackJail5,  -0.875,  9.625
BlackJail6,  -0.875,  8.750
BlackJail7,  -0.875,  7.875
BlackJail8,  -0.875,  7.000
BlackJail9,  -0.875,  6.125
BlackJail10, -0.875,  5.250
BlackJail11, -0.875,  4.375
BlackJail12, -0.875,  3.500
BlackJail13, -0.875,  2.625
BlackJail14, -0.875,  1.750
BlackJail15, -0.875,  0.875
WhiteJail1,  14.875, 13.125
WhiteJail2,  14.875, 12.250
WhiteJail3,  14.875, 11.375
WhiteJail4,  14.875, 10.500
WhiteJail5,  14.875,  9.625
WhiteJail6,  14.875,  8.750
WhiteJail7,  14.875,  7.875
WhiteJail8,  14.875,  7.000
WhiteJail9,  14.875,  6.125
WhiteJail10, 14.875,  5.250
WhiteJail11, 14.875,  4.375
WhiteJail12, 14.875,  3.500
WhiteJail13, 14.875,  2.625
WhiteJail14, 14.875,  1.750
WhiteJail15, 14.875,  0.875
a1,  0.875,  0.875
a2,  0.875,  2.625
a3,  0.875,  4.375
a4,  0.875,  6.125
a5,  0.875,  7.875
a6,  0.875,  9.625
a7,  0.875, 11.375
a8,  0.875, 13.125
b1,  2.625,  0.875
b2,  2.625,  2.625
b3,  2.625,  4.375
b4,  2.625,  6.125
b5,  2.625,  7.875
b6,  2.625,  9.625
b7,  2.625, 11.375
b8,  2.625, 13.125
c1,  4.375,  0.875
c2,  4.375,  2.625
c3,  4.375,  4.375
c4,  4.375,  6.125
c5,  4.375,  7.875
c6,  4.375,  9.625
c7,  4.375, 11.375
c8,  4.375, 13.125
d1,  6.125,  0.875
d2,  6.125,  2.625
d3,  6.125,  4.375
d4,  6.125,  6.125
d5,  6.125,  7.875
d6,  6.125,  9.625
d7,  6.125, 11.375
d8,  6.125, 13.125
e1,  7.875,  0.875
e2,  7.875,  2.625
e3,  7.875,  4.375
e4,  7.875,  6.125
e5,  7.875,  7.875
e6,  7.875,  9.625
e7,  7.875, 11.375
e8,  7.875, 13.125
f1,  9.625,  0.875
f2,  9.625,  2.625
f3,  9.625,  4.375
f4,  9.625,  6.125
f5,  9.625,  7.875
f6,  9.625,  9.625
f7,  9.625, 11.375
f8,  9.625, 13.125
g1, 11.375,  0.875
g2, 11.375,  2.625
g3, 11.375,  4.375
g4, 11.375,  6.125
g5, 11.375,  7.875
g6, 11.375,  9.625
g7, 11.375, 11.375
g8, 11.375, 13.125
h1, 13.125,  0.875
h2, 13.125,  2.625
h3, 13.125,  4.375
h4, 13.125,  6.125
h5, 13.125,  7.875
h6, 13.125,  9.625
h7, 13.125, 11.375
h8, 13.125, 13.125
